line	size		transaction item
334	29	:	6 8 11 13 17 21 22 24 29 32 34 37 40 43 44 45 50 53 54 57 58 63 65 72 76 82 88 93 99 
335	74	:	1 2 4 5 6 7 8 9 11 13 14 15 17 18 19 20 21 22 23 24 25 28 29 30 31 33 34 35 37 39 40 41 42 43 44 45 46 48 49 50 52 53 56 57 58 59 61 62 63 67 68 69 72 75 76 77 80 82 83 84 85 86 87 89 91 92 93 94 95 96 97 98 99 100 
336	14	:	4 18 29 35 36 48 49 64 68 77 82 85 88 98 
337	44	:	2 6 8 17 22 23 24 25 27 30 31 37 38 43 44 48 49 51 52 53 55 56 57 59 60 64 66 71 73 75 78 79 81 84 85 86 87 91 92 93 96 97 98 99 
338	11	:	7 15 24 27 39 61 64 84 85 89 95 
339	54	:	2 3 4 5 6 7 9 10 11 15 16 17 19 21 24 25 26 28 29 30 31 32 34 35 36 37 38 40 41 43 46 50 51 54 55 58 59 61 64 65 69 77 78 81 82 87 88 90 91 95 96 97 98 100 
340	39	:	1 3 7 8 9 12 14 15 22 24 26 27 30 31 32 34 37 39 43 48 49 50 51 53 58 60 61 63 64 65 67 70 79 80 82 84 85 89 95 
341	30	:	1 6 7 9 10 13 16 19 28 30 34 40 42 49 52 61 62 63 67 68 74 76 77 87 91 92 94 96 99 100 
342	80	:	1 2 3 4 5 6 7 9 10 11 12 15 16 17 18 19 21 23 25 26 28 29 30 32 33 34 35 36 37 38 39 40 42 43 44 45 47 49 50 51 52 53 54 56 57 58 59 60 61 63 64 65 67 69 70 71 72 73 74 75 76 77 79 80 81 82 83 84 86 88 91 92 93 94 95 96 97 98 99 100 
343	17	:	6 7 10 26 36 37 40 42 51 53 65 75 80 81 84 91 97 
344	66	:	1 2 4 5 11 12 15 16 17 21 22 23 24 25 27 28 29 30 31 33 34 37 38 39 40 42 43 45 46 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 66 67 68 69 70 71 72 73 74 78 80 82 84 85 87 90 91 92 95 96 99 100 
345	66	:	4 6 9 10 11 12 13 14 16 17 18 19 20 21 23 24 26 27 28 31 32 34 35 36 37 39 40 42 43 44 45 47 48 49 50 51 53 54 60 61 62 63 65 66 67 69 70 72 75 76 77 78 80 83 85 87 88 91 92 93 94 95 96 98 99 100 
346	58	:	2 6 7 10 11 12 13 14 15 16 17 19 21 23 24 26 27 29 32 34 36 37 38 39 42 44 46 52 53 56 57 58 59 60 61 63 64 65 66 68 69 73 75 76 78 81 83 84 85 86 88 89 92 93 95 96 98 100 
347	43	:	1 2 4 8 9 11 12 13 14 15 16 22 27 30 32 38 39 40 42 43 48 49 50 53 54 58 60 65 66 67 68 70 75 80 83 84 85 88 90 91 95 98 100 
348	78	:	1 2 4 6 7 8 9 10 12 13 14 15 16 17 19 21 22 23 26 28 29 30 31 32 34 36 37 38 39 40 41 42 43 44 45 46 49 50 51 52 53 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 72 74 75 76 78 80 82 83 84 85 86 87 91 92 93 95 96 97 98 99 100 
349	22	:	6 15 21 23 28 31 38 40 41 46 50 53 55 63 68 71 72 74 80 87 88 100 
350	17	:	4 7 15 26 36 37 44 47 48 50 61 63 70 73 77 80 90 
351	81	:	1 4 5 6 7 8 10 11 13 14 15 16 17 19 21 22 23 24 26 28 29 30 31 32 33 37 38 39 40 41 42 43 45 46 47 49 50 52 53 54 55 57 58 59 60 61 62 63 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 84 86 87 88 89 91 92 93 94 95 96 97 98 99 100 
352	55	:	2 4 5 8 9 11 12 16 18 21 23 25 28 29 35 36 37 38 39 42 44 45 46 47 48 49 53 54 55 59 63 64 66 67 68 70 71 72 73 74 77 78 81 82 85 88 89 90 91 92 93 94 96 98 100 
353	67	:	2 4 6 8 9 10 11 12 13 14 16 17 19 21 22 23 24 28 32 33 34 36 37 40 41 42 43 44 45 46 47 49 51 52 53 54 56 61 62 63 65 66 67 68 69 74 75 76 77 78 82 83 85 86 87 88 89 90 91 92 93 94 96 97 98 99 100 
354	51	:	1 4 5 6 7 8 10 11 12 13 16 17 19 20 21 27 29 30 31 32 35 39 41 42 44 47 48 49 52 53 54 58 61 63 64 67 68 74 76 77 83 84 87 88 92 95 96 97 98 99 100 
355	78	:	1 2 3 4 5 7 8 9 10 11 12 13 14 15 16 17 18 19 22 24 25 26 27 28 29 30 31 33 34 35 36 37 38 40 42 43 44 46 48 49 50 52 53 56 57 58 59 60 61 62 64 65 66 67 68 69 70 71 72 76 77 79 80 81 82 84 85 87 88 90 91 93 94 95 96 98 99 100 
356	15	:	4 9 22 24 37 42 45 49 61 66 67 82 83 85 89 
357	35	:	4 8 13 14 15 18 21 26 32 38 39 40 41 44 48 49 50 53 58 62 63 65 66 68 70 72 80 83 84 87 91 93 95 97 98 
358	62	:	2 6 8 10 12 13 15 17 18 21 22 23 24 25 26 29 31 34 36 37 38 39 40 43 44 45 46 47 48 49 51 52 53 58 59 60 63 65 66 68 69 71 72 74 78 79 80 82 83 84 85 87 89 90 91 92 93 94 95 96 97 99 
359	78	:	1 2 3 6 8 9 10 11 12 13 14 15 16 17 18 19 21 23 24 25 26 27 28 29 30 31 32 34 35 36 37 38 40 42 43 44 46 47 48 49 50 51 52 53 56 57 58 59 60 61 62 63 65 66 67 69 70 71 72 75 76 78 79 80 82 83 84 85 87 88 90 91 92 93 95 96 99 100 
360	73	:	1 2 4 5 6 7 8 9 10 12 14 15 16 17 18 19 20 22 23 24 25 26 27 28 29 30 31 32 33 35 37 38 39 43 44 45 47 48 49 52 54 58 61 62 64 65 66 67 68 69 70 71 73 75 76 77 78 79 81 82 83 84 85 87 88 89 90 91 93 94 95 96 100 
361	61	:	1 2 4 7 10 11 12 14 16 17 18 19 20 21 23 24 25 26 27 28 30 31 35 36 37 39 40 41 43 45 46 47 48 50 51 52 54 55 57 59 60 61 62 66 67 69 75 76 77 78 80 82 83 84 87 88 93 97 98 99 100 
362	23	:	1 8 18 26 32 40 48 50 53 62 63 66 69 70 72 73 80 83 84 86 93 95 96 
363	66	:	1 6 7 8 9 10 11 12 13 15 16 19 21 24 26 28 30 31 33 34 36 37 38 39 40 41 42 46 47 49 50 52 54 56 58 60 61 62 63 64 66 67 68 69 70 72 73 74 75 76 77 78 82 83 84 86 87 88 90 92 95 96 97 98 99 100 
364	68	:	5 6 7 10 11 14 15 17 18 20 21 23 26 28 30 31 33 34 36 37 38 39 40 41 42 43 45 46 47 49 50 51 52 53 55 56 57 59 61 62 63 64 65 66 68 69 71 72 74 75 76 77 80 81 83 84 85 86 87 88 91 92 93 95 97 98 99 100 
365	10	:	2 5 21 29 45 54 72 73 74 92 
366	31	:	1 6 7 10 12 13 16 21 22 29 30 38 42 45 49 51 52 61 62 63 67 68 70 74 76 85 91 92 95 99 100 
367	45	:	1 2 4 7 8 11 13 16 23 24 25 28 30 31 32 35 37 38 43 44 46 47 48 50 51 53 54 55 57 59 60 61 64 66 71 72 78 84 85 87 89 91 92 96 99 
368	43	:	2 9 10 11 12 16 21 22 26 27 30 31 33 36 37 39 40 41 42 43 47 48 53 54 56 58 60 61 62 68 69 70 74 76 78 80 82 84 87 88 90 92 97 
369	37	:	6 9 13 14 16 18 19 23 28 34 37 40 42 46 56 61 62 63 65 67 68 69 75 76 77 83 85 86 87 91 92 93 94 96 98 99 100 
370	25	:	14 18 23 24 26 32 40 48 50 53 61 62 63 66 68 69 70 72 73 75 80 83 90 93 95 
371	46	:	1 2 4 5 6 8 9 11 12 16 17 18 19 20 22 27 28 29 31 39 43 47 49 52 54 58 59 61 64 66 69 70 73 75 78 79 80 81 84 85 86 87 88 97 99 100 
372	79	:	1 2 4 6 8 9 11 12 13 15 16 17 18 19 20 22 23 24 25 26 27 28 29 30 31 36 37 38 39 42 43 44 45 46 47 48 49 50 52 53 54 55 56 57 58 59 60 61 62 63 65 66 68 69 70 73 74 75 76 78 80 82 83 84 85 86 87 88 89 90 91 93 94 95 96 97 98 99 100 
373	32	:	1 4 5 6 7 15 18 20 23 24 27 29 35 36 39 43 45 48 49 61 64 67 68 69 77 82 84 85 88 89 95 98 
374	23	:	1 4 5 6 12 17 19 20 23 27 29 39 43 45 48 49 67 69 77 85 87 95 100 
375	62	:	1 2 4 5 6 7 8 9 11 15 16 19 20 22 23 24 25 27 29 31 35 37 38 39 42 43 45 46 47 48 49 50 51 52 53 54 55 58 59 60 61 63 64 66 67 69 70 71 75 76 78 82 83 84 85 87 89 91 92 95 96 99 
376	72	:	1 2 3 4 7 9 10 11 12 14 15 16 17 18 19 20 21 23 24 25 26 27 28 29 30 31 32 34 37 38 39 40 41 42 43 44 45 50 53 54 58 59 60 61 62 63 64 65 67 68 69 70 71 76 77 78 80 83 84 85 87 88 89 90 91 93 94 95 96 97 99 100 
377	45	:	4 7 9 11 12 14 16 17 22 23 24 25 27 32 35 36 37 39 40 42 43 45 48 49 50 51 55 57 60 61 66 67 68 69 70 73 75 80 82 83 85 87 89 90 93 
378	62	:	3 4 6 8 9 10 11 12 13 16 17 19 20 21 22 24 26 27 28 29 31 32 34 35 36 37 38 40 41 42 43 44 45 47 48 49 50 53 54 57 58 61 63 65 66 69 70 72 75 76 77 78 82 85 87 88 90 93 95 97 99 100 
379	32	:	2 4 5 7 15 18 21 24 27 29 35 36 39 45 48 49 54 61 64 68 72 73 74 77 82 84 85 88 89 92 95 98 
380	71	:	1 2 3 4 5 6 8 11 13 14 15 17 18 19 20 21 23 24 26 29 31 35 37 39 40 41 42 43 44 45 46 48 49 50 52 53 54 56 58 60 61 62 63 65 66 67 68 69 70 72 73 74 75 76 78 82 83 84 85 86 87 88 89 90 91 92 93 94 95 97 98 
381	21	:	2 10 11 13 27 30 39 41 42 43 52 53 54 58 60 63 68 70 76 90 94 
382	56	:	2 4 6 9 10 11 12 13 14 16 17 19 20 22 24 27 28 29 30 31 32 37 39 41 42 44 46 48 49 50 52 53 54 57 59 60 63 66 68 69 73 74 75 76 77 80 82 84 85 87 88 94 95 96 98 100 
383	49	:	1 4 6 7 9 10 11 13 15 16 17 19 21 22 24 30 32 37 40 42 43 44 45 49 50 52 53 54 58 60 61 63 65 66 67 68 70 74 75 76 82 83 85 88 89 92 93 95 99 
384	77	:	1 2 4 5 6 8 9 11 12 13 15 16 18 19 20 21 22 24 25 27 28 29 30 31 32 34 36 37 38 39 40 42 43 44 45 46 47 49 50 51 52 53 54 55 57 58 59 60 61 62 63 64 65 66 68 69 72 73 74 75 76 77 80 81 82 83 84 85 86 87 88 92 95 96 98 99 100 
385	68	:	1 2 3 4 5 6 11 13 14 15 16 17 19 21 24 26 29 31 33 34 35 37 38 39 40 42 43 45 46 48 49 50 52 54 58 59 60 61 62 63 64 65 66 67 68 70 71 72 73 74 75 76 77 79 81 82 84 85 87 88 89 90 92 94 95 96 98 99 
386	18	:	4 8 13 16 22 28 44 46 49 51 63 74 75 77 82 85 88 97 
387	57	:	2 6 9 10 12 13 16 17 18 19 21 24 26 30 31 32 33 36 37 38 39 40 42 43 44 45 46 48 50 52 53 54 56 59 60 62 63 65 66 67 68 70 72 74 76 78 80 82 84 85 87 88 92 93 95 99 100 
388	56	:	2 8 9 10 11 12 16 18 21 23 24 26 27 29 30 31 32 37 39 41 42 43 44 45 46 49 50 53 54 56 58 59 60 61 63 66 67 68 69 70 71 72 74 77 80 82 84 85 87 89 90 91 94 95 97 100 
389	13	:	1 3 8 16 23 27 42 51 58 65 70 77 89 
390	31	:	2 14 23 24 25 31 37 38 43 48 51 53 56 60 63 66 68 69 71 75 78 83 85 86 87 91 92 93 96 98 99 
391	55	:	1 2 6 7 8 11 12 13 14 16 17 21 22 24 25 27 30 32 38 40 42 43 44 45 48 49 50 52 53 54 57 58 61 64 65 66 73 75 76 79 80 81 84 85 86 87 88 89 93 94 96 97 98 99 100 
392	71	:	1 3 5 6 7 8 10 11 12 13 14 15 16 17 18 19 20 21 22 24 26 29 30 31 32 33 35 37 38 39 40 42 43 45 46 47 48 49 51 52 54 57 58 59 60 61 62 63 64 65 67 68 70 72 74 76 77 79 80 82 83 84 85 88 89 91 92 95 98 99 100 
393	25	:	3 9 12 19 25 28 30 33 34 36 37 40 47 49 56 57 62 65 76 78 82 87 90 99 100 
394	79	:	1 2 3 4 5 6 8 9 10 11 12 13 14 15 16 17 18 19 21 23 24 26 29 30 31 32 33 35 36 37 38 39 40 41 42 44 46 48 49 50 52 53 54 58 59 60 61 62 63 64 65 66 68 69 70 71 72 74 75 76 77 78 79 80 81 82 83 84 85 87 88 90 91 92 93 95 97 98 100 
395	23	:	3 5 6 9 11 12 19 20 29 47 48 54 55 58 62 63 64 65 71 78 88 93 98 
396	68	:	1 2 3 4 5 6 8 9 10 11 12 13 14 16 19 21 23 24 25 26 27 28 29 30 31 32 34 35 36 37 39 40 41 49 50 51 52 53 54 56 57 58 60 61 63 64 65 67 68 69 75 76 77 81 82 83 84 85 86 88 90 92 93 94 97 98 99 100 
397	61	:	1 2 3 4 8 9 10 11 13 14 16 21 22 23 24 26 27 31 32 37 40 41 42 45 46 47 49 51 52 53 56 58 61 62 63 65 66 67 68 69 70 73 75 76 77 78 80 82 83 84 85 86 88 89 90 92 93 94 97 98 100 
398	35	:	1 2 4 5 6 8 14 16 18 20 21 22 29 32 39 45 54 57 59 61 69 72 73 74 75 80 83 84 86 87 92 94 96 98 99 
399	10	:	2 10 11 13 41 52 53 63 76 94 
400	71	:	1 3 4 5 6 7 9 11 12 13 14 16 17 18 19 20 21 24 26 27 28 30 31 32 34 35 36 37 38 40 41 42 44 46 47 48 49 50 51 52 53 54 57 58 60 61 62 63 65 66 67 68 69 72 73 76 77 78 83 85 87 88 89 90 92 93 95 96 97 98 100 
401	75	:	1 2 4 6 7 8 9 10 13 14 15 16 18 19 20 22 24 26 27 30 31 32 34 35 37 38 39 40 41 42 43 45 46 47 48 49 50 52 53 54 55 57 58 59 60 61 62 63 64 65 66 67 68 69 70 72 73 74 76 80 82 83 84 85 86 89 90 91 92 93 95 96 98 99 100 
402	35	:	3 7 9 11 12 14 15 17 23 24 26 27 32 37 38 39 40 45 50 61 64 65 77 78 83 84 85 87 88 89 90 93 95 97 100 
403	26	:	2 6 8 10 13 14 16 19 22 29 32 52 57 60 71 72 73 75 76 79 80 87 88 94 96 98 
404	21	:	2 23 24 25 31 37 38 43 48 51 53 60 66 71 78 85 87 91 92 96 99 
405	69	:	1 2 3 4 5 6 7 9 10 11 12 13 15 16 17 18 19 20 21 23 24 25 26 29 30 31 32 33 34 35 37 38 39 40 43 44 45 48 50 52 53 54 58 59 60 61 64 65 67 68 69 72 74 76 77 78 80 82 84 85 87 88 89 90 93 95 97 99 100 
406	45	:	1 2 4 10 11 12 13 16 18 20 21 22 26 27 29 30 32 38 39 40 42 45 48 50 51 53 58 59 61 62 63 65 66 67 70 72 80 85 88 91 93 94 95 99 100 
407	57	:	2 3 5 6 8 9 10 13 14 17 19 21 22 23 24 26 28 29 30 32 36 37 38 40 45 46 50 52 54 56 59 60 63 65 68 69 72 73 74 75 76 77 78 79 83 84 85 86 87 88 90 92 93 95 97 98 100 
408	59	:	2 4 5 6 7 11 12 13 14 15 16 17 19 21 24 27 29 31 32 33 35 37 38 39 40 42 43 44 45 52 53 54 58 61 62 64 65 66 67 71 72 73 74 76 77 79 81 82 84 85 88 89 92 93 94 95 96 99 100 
409	53	:	1 2 5 6 7 8 10 12 13 16 18 21 26 29 30 32 39 40 41 42 44 45 48 49 50 52 53 54 61 62 63 66 67 68 69 70 72 73 74 76 80 83 84 86 87 92 93 94 95 96 97 99 100 
410	10	:	2 5 21 29 45 54 72 73 74 92 
411	27	:	7 10 12 13 14 16 18 20 24 29 32 39 41 46 48 57 60 61 62 65 72 85 89 94 95 96 100 
412	17	:	5 11 15 17 30 31 33 40 43 46 52 57 59 61 72 80 95 
413	26	:	6 14 18 19 23 24 26 29 31 35 37 39 45 46 58 61 62 66 68 69 84 85 89 91 94 97 
414	50	:	1 2 3 8 9 12 13 14 16 17 21 22 27 28 29 30 31 32 38 39 42 43 45 47 49 50 51 53 54 55 58 60 62 65 66 67 68 69 70 75 78 83 84 85 87 88 90 91 95 100 
415	21	:	6 11 20 22 25 27 28 29 36 42 47 53 61 63 65 68 75 87 88 96 99 
416	37	:	1 2 7 9 14 22 23 24 25 28 31 32 33 34 37 40 41 50 55 57 59 61 65 66 68 69 70 72 73 75 81 82 83 90 91 92 98 
417	20	:	4 5 17 29 33 39 43 45 52 54 65 67 71 77 79 81 82 88 94 96 
418	67	:	1 2 3 4 5 6 7 8 9 10 11 12 13 16 19 20 21 22 23 24 25 26 28 29 31 37 39 40 41 42 43 44 45 46 47 48 49 50 51 52 54 55 59 61 62 63 64 65 67 69 71 74 75 77 78 80 81 82 84 85 87 88 91 93 97 98 100 
419	41	:	2 5 8 10 11 13 15 16 17 19 21 26 29 30 31 33 34 40 41 43 46 48 52 57 59 60 61 68 69 71 72 74 76 79 80 82 88 89 90 95 97 
420	76	:	1 2 3 4 5 6 7 9 10 11 12 13 15 17 19 20 21 22 24 25 26 27 28 29 30 31 32 35 36 37 38 39 40 41 42 43 44 45 46 47 48 50 51 52 53 54 58 59 60 61 62 63 64 65 67 68 69 70 76 77 78 83 84 85 87 88 89 90 91 92 94 95 96 97 98 100 
421	25	:	3 9 12 15 19 25 28 30 34 40 48 49 56 57 59 60 65 68 72 74 82 89 90 99 100 
422	71	:	1 2 3 4 5 9 12 14 15 17 19 22 24 25 26 27 28 29 30 31 32 33 34 35 37 38 39 40 42 43 44 45 46 48 49 50 52 54 56 57 58 59 60 61 65 66 67 68 70 71 74 77 78 79 80 81 82 83 84 85 87 88 89 90 91 94 95 96 97 99 100 
423	61	:	1 2 3 5 6 7 8 10 11 12 13 15 16 17 19 20 21 25 26 29 30 32 36 37 39 40 41 44 46 48 50 52 53 58 59 60 61 63 67 68 69 70 71 73 75 76 78 82 83 84 86 89 90 91 92 93 94 95 96 97 100 
424	33	:	4 5 14 17 23 29 33 39 43 45 52 54 56 63 65 67 68 69 71 75 77 79 81 82 83 85 86 88 92 93 94 96 98 
425	46	:	1 2 3 4 9 12 14 18 20 23 24 26 29 32 39 45 46 47 48 55 58 59 61 62 63 64 65 66 68 69 70 71 73 75 78 80 83 84 89 90 91 93 94 97 98 99 
426	80	:	3 4 5 8 9 10 11 12 14 16 17 18 19 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 39 40 41 43 44 45 46 47 48 49 50 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 75 77 78 79 80 81 82 83 84 88 89 90 93 94 95 96 97 99 100 
427	69	:	1 2 5 6 7 9 11 12 13 14 15 16 17 18 19 21 22 23 25 26 27 28 29 30 31 32 36 37 39 40 42 43 44 45 47 48 50 52 53 54 58 59 60 61 62 63 66 67 68 69 70 72 73 74 75 76 78 80 82 83 84 85 87 89 90 92 93 95 100 
428	68	:	1 2 4 6 7 8 9 11 12 14 15 18 19 20 22 24 25 27 28 29 32 33 34 36 37 39 40 42 44 45 47 49 50 53 56 59 60 61 62 63 64 65 66 67 68 69 71 73 75 76 77 78 80 82 83 84 85 86 87 88 89 90 91 94 95 96 99 100 
429	27	:	2 4 7 9 13 19 22 24 28 30 35 37 38 42 44 45 49 51 58 61 66 67 72 82 83 85 89 
430	25	:	1 4 8 13 16 22 28 44 46 49 51 63 69 73 74 75 77 82 83 84 85 86 88 96 97 
431	36	:	1 3 6 13 17 18 21 22 24 26 27 28 32 40 43 44 45 47 48 50 53 54 55 62 63 65 66 70 72 76 80 87 88 93 95 99 
432	12	:	2 27 30 39 42 43 54 58 60 68 70 90 
433	17	:	18 23 24 26 29 39 45 46 58 66 68 69 84 89 91 94 97 
434	72	:	2 4 5 6 8 10 11 13 14 16 17 18 19 21 23 24 26 28 29 30 32 34 35 38 39 40 43 44 45 46 47 48 49 52 53 54 55 58 59 60 61 62 64 65 66 68 69 70 71 72 73 74 75 76 77 79 81 83 84 86 88 89 90 91 93 94 95 96 97 98 99 100 
435	66	:	1 2 3 4 5 9 10 11 12 13 14 15 17 19 20 23 24 25 27 28 29 30 31 32 33 34 37 39 40 41 42 43 46 48 49 50 51 52 53 54 56 57 58 59 60 61 63 65 67 68 69 70 72 73 75 76 77 80 82 83 87 90 94 95 99 100 
436	80	:	1 2 4 5 6 7 9 10 11 12 13 14 15 16 17 19 20 21 23 24 27 28 29 30 31 32 34 35 37 38 39 40 42 43 44 45 46 47 48 49 50 51 52 53 54 58 60 61 62 63 65 66 67 68 69 70 72 73 74 75 76 77 78 80 82 83 84 85 87 88 89 91 92 93 94 95 96 98 99 100 
437	12	:	1 2 7 11 13 25 30 48 50 53 61 89 
438	74	:	1 2 4 5 6 7 9 10 14 15 18 20 22 23 24 26 27 28 29 30 31 32 33 34 35 36 37 39 40 41 42 43 44 45 46 47 48 49 50 51 53 55 57 58 59 60 61 62 63 65 66 67 68 69 72 74 75 78 80 81 82 84 85 87 88 89 90 91 92 96 97 98 99 100 
439	64	:	1 2 4 6 7 8 9 10 11 12 14 16 17 19 20 22 23 24 25 27 28 29 30 31 32 35 37 39 41 42 43 44 45 46 48 49 50 53 54 55 59 60 61 62 65 66 67 68 72 74 75 77 80 81 82 83 84 85 87 89 91 94 95 100 
440	54	:	1 2 3 4 5 6 8 9 11 14 15 16 18 19 20 23 27 28 29 34 35 36 39 40 42 48 49 51 54 58 59 61 62 64 65 67 68 70 76 77 78 80 82 85 87 88 89 90 91 94 96 98 99 100 
441	57	:	1 2 6 7 9 11 13 14 16 19 23 24 27 28 30 31 32 34 35 37 38 39 41 42 44 46 47 49 50 51 53 58 61 62 63 64 66 67 68 69 70 72 73 74 75 78 80 82 83 84 85 88 89 90 94 99 100 
442	28	:	2 5 8 17 21 22 27 29 31 33 38 43 45 49 52 54 64 72 73 74 75 78 79 81 84 86 92 97 
443	64	:	1 3 4 5 6 7 8 9 10 12 13 14 15 16 17 22 23 25 26 27 28 29 31 36 37 38 39 40 42 43 46 47 49 50 51 53 58 59 60 62 65 66 68 69 70 74 75 77 78 80 81 82 83 84 85 87 88 89 90 91 95 97 98 100 
444	44	:	2 8 18 23 24 25 26 31 32 33 37 38 39 40 43 48 50 51 53 57 60 62 63 66 70 71 72 74 75 76 78 80 84 85 86 87 89 91 92 93 95 96 97 99 
445	14	:	11 12 13 16 27 38 42 53 58 65 66 85 88 100 
446	61	:	2 4 5 7 13 14 15 16 17 19 20 23 24 25 26 27 28 29 30 31 32 35 37 38 39 40 43 44 46 47 48 49 51 52 53 58 59 60 61 64 65 66 67 68 69 71 72 74 78 83 84 85 87 88 89 91 92 95 96 98 99 
447	13	:	6 14 19 24 31 35 37 39 61 62 84 85 89 
448	32	:	1 2 3 7 8 13 18 21 27 30 31 34 37 39 41 44 45 49 50 51 53 60 63 67 75 82 84 86 87 88 90 97 
449	18	:	3 9 17 26 32 37 38 40 50 65 77 78 87 88 90 95 97 100 
450	73	:	3 4 5 6 7 8 9 10 11 12 13 14 15 16 19 21 22 24 25 26 27 28 29 30 31 32 34 35 36 37 38 39 40 41 43 44 48 49 50 53 54 56 57 58 61 64 65 66 67 68 70 73 76 78 79 81 82 83 84 85 86 87 88 89 91 93 94 95 96 97 98 99 100 
451	41	:	2 4 7 9 13 19 22 23 24 25 28 30 31 35 37 38 42 43 44 45 48 49 51 53 58 60 61 66 67 71 72 78 82 83 85 87 89 91 92 96 99 
452	35	:	5 6 11 13 15 17 21 24 29 30 31 32 33 38 40 43 44 45 46 52 53 54 57 59 61 65 72 76 78 80 84 88 93 95 99 
453	43	:	2 4 6 8 13 14 16 17 18 22 23 24 27 28 30 32 35 36 37 43 46 49 50 52 56 61 64 65 68 69 70 73 75 79 81 83 84 86 90 97 98 99 100 
454	57	:	2 5 6 7 9 10 11 12 13 15 16 17 23 26 28 29 30 31 33 36 37 38 40 41 42 43 46 47 49 51 52 53 57 59 61 63 65 66 67 69 70 71 72 74 75 76 77 78 80 81 84 88 91 93 94 95 97 
455	22	:	2 5 19 21 24 28 29 30 45 52 54 60 69 72 73 74 76 77 88 92 98 100 
456	64	:	1 2 3 5 6 7 8 10 11 12 13 14 16 17 19 20 21 23 24 25 28 29 30 31 33 35 36 37 38 39 40 41 42 43 44 48 50 51 52 53 54 58 60 61 62 65 66 67 71 72 73 76 78 79 84 85 88 89 91 92 93 95 96 97 
457	76	:	1 2 4 5 6 8 9 10 11 12 13 16 17 19 20 21 22 23 24 26 28 29 30 31 32 33 35 36 37 38 39 40 41 42 43 44 45 46 47 50 52 53 54 55 59 60 61 62 64 65 66 67 68 69 72 73 74 76 77 78 79 80 82 83 84 85 86 88 89 92 93 96 97 98 99 100 
458	44	:	2 3 5 9 10 11 12 14 16 20 21 23 24 26 29 31 32 40 41 45 47 48 54 55 61 62 63 64 65 68 69 70 71 72 73 74 75 78 83 90 92 93 97 98 
459	12	:	1 5 6 20 23 29 39 43 45 67 69 85 
460	62	:	1 2 4 5 6 7 9 10 11 13 14 15 17 19 21 22 24 26 28 29 30 31 35 37 38 39 40 41 42 44 45 48 49 51 52 53 54 58 61 63 64 65 66 67 68 72 73 74 76 78 82 83 85 87 88 89 90 91 92 94 95 98 
461	12	:	1 2 7 11 13 25 30 48 50 53 61 89 
462	20	:	4 5 17 29 33 39 43 45 52 54 65 67 71 77 79 81 82 88 94 96 
463	56	:	2 3 5 9 12 14 16 17 21 23 26 28 29 31 32 34 37 38 39 40 45 46 47 49 50 54 56 61 62 63 64 65 66 68 69 70 72 73 74 75 76 77 78 83 85 86 87 88 90 92 93 95 97 98 99 100 
464	47	:	4 6 9 12 13 16 17 21 22 24 28 31 32 37 40 42 43 44 45 47 49 50 53 54 55 57 61 65 66 67 69 70 72 75 76 78 82 83 84 85 87 88 89 93 96 99 100 
465	26	:	4 9 22 24 28 31 32 37 42 43 44 45 49 50 55 57 61 66 67 72 82 83 84 85 89 96 
466	13	:	1 8 9 14 32 49 50 53 60 65 75 83 84 
467	51	:	4 6 11 17 18 19 20 22 23 24 25 26 27 28 29 31 32 35 36 37 39 40 42 44 45 46 47 52 53 58 59 61 63 65 66 68 69 71 75 83 84 87 88 89 91 94 95 96 97 98 99 
468	13	:	2 8 10 13 19 29 52 60 71 72 76 79 88 
469	58	:	2 4 5 8 10 11 13 14 16 17 19 20 21 23 26 29 31 32 33 35 38 39 40 41 43 44 45 47 52 54 56 60 61 63 65 67 68 69 71 72 75 76 77 78 79 81 82 83 84 85 86 88 92 93 94 96 97 98 
470	39	:	2 7 10 11 13 14 15 17 18 20 24 27 29 31 33 38 39 41 46 48 52 53 57 60 61 62 63 64 65 72 76 78 84 85 89 94 95 96 100 
471	36	:	5 13 17 18 19 21 24 26 28 30 31 32 37 40 48 50 52 53 54 60 62 63 66 69 70 72 76 77 80 83 88 92 93 95 98 100 
472	59	:	3 4 6 9 12 14 15 19 21 22 23 24 25 28 30 31 34 37 38 40 41 42 45 46 49 50 52 53 54 55 56 57 60 61 63 65 66 67 68 69 71 72 74 75 76 77 80 82 83 85 86 87 88 89 92 93 98 99 100 
473	53	:	1 2 3 4 5 6 9 12 14 16 17 18 19 20 22 25 27 28 29 30 32 33 34 39 40 43 45 48 49 52 54 56 57 59 61 65 67 71 73 75 77 79 80 81 82 87 88 94 95 96 98 99 100 
474	42	:	3 5 6 9 10 11 12 16 19 20 21 26 28 31 33 34 36 37 40 41 42 47 56 61 62 67 69 73 76 77 78 82 87 90 91 92 93 94 96 97 99 100 
475	58	:	1 2 4 5 6 7 9 12 13 14 18 19 20 21 22 23 24 29 31 33 35 36 37 39 41 42 43 45 46 47 48 49 54 56 57 60 61 62 65 66 67 69 72 73 74 76 78 82 83 84 85 87 89 90 92 95 96 100 
476	14	:	2 7 13 19 28 30 35 38 44 51 58 66 67 72 
